geo,name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
esp,Spain,71.53,,69.95,72.94,61.99,61.88,65.18,62.91,61.5,64.56,63.81,63.19,62.3,65.13,64.57,65.02,64.7,63.37,64.56
est,Estonia,,53.71,53.32,54.52,51.38,,54.87,53.64,53.67,55.56,56.29,56.5,59.38,60.91,60.35,64.53,65.54,63.57,64.3
eth,Ethiopia,,,,,,,,45.61,44.45,45.07,45.73,42.98,41.8,43.79,41,45.49,,36.28,40.93
fin,Finland,,76.72,,76.71,,73.93,73.54,74.2,74.45,73.85,74.48,76.6,77.88,78.58,77.8,78.89,77.94,77.29,76.99
fra,France,70.93,65.83,,70.08,62.83,67.98,69.59,66.49,66.67,64.67,63.58,64.75,66.35,66.66,66.9,67.14,66.56,66.14,65.57
gab,Gabon,,,,,,,42.55,39.72,38,39.18,46.61,48.32,47.82,47.83,49.14,48.87,50.75,51.4,51.04
gbr,UK,69.84,,68.02,69.86,69.07,70.29,68.69,68.81,69.18,67.58,65.15,68.24,71.03,72.33,71.57,67.98,68.67,67.22,66.58
geo,Georgia,,36.75,37.07,41.56,38.01,41.02,42.03,42.54,43.49,42.88,41.22,44.48,44.51,46.59,48.92,51.23,49.11,52.93,53.51
gha,Ghana,,45.35,52.2,49.65,41.98,46.06,56.08,50.57,49.65,38.6,39.86,45.14,54.81,50.04,49.67,53.19,43.78,41.91,42.98
gin,Guinea,,,,,,,40.45,36.52,39.02,34.12,35.05,36.03,48.74,52.52,47.68,49.72,49.45,53.17,48.27
gmb,Gambia,,,,,,,,,,,,,41.18,49.22,51.64,,,42.79,46.91
grc,Greece,60.06,,66.47,,60.39,58.4,53.72,50.96,47.2,47.56,56.23,53.03,51.48,54.09,59.52,57.88,61.04,59,57.96
gtm,Guatemala,,59.01,63.3,64.14,64.52,62.9,57.43,58.56,59.85,65.36,64.65,63.59,63.25,66.27,62.62,,,61.5,64.21
guy,Guyana,,,59.93,,,,,,,,,,,,,,,,
hnd,Honduras,,53.97,50.97,54.2,60.33,58.66,49.61,46.02,47.13,50.56,48.45,56.48,60.2,59.08,59.3,,61.14,59.32,58.61
hrv,Croatia,,,58.21,,54.33,55.96,53.85,60.28,58.85,53.81,52.05,54.17,53.43,55.36,56.26,65.08,62.87,55.79,59.58
hti,Haiti,,37.54,,38.46,,37.66,48.45,44.13,46.22,38.89,35.7,33.52,38.24,36.15,,,,,
hun,Hungary,51.94,,49.54,,48.95,47.25,49.18,46.83,49.14,51.81,53.44,54.49,60.65,59.36,60,60.38,62.27,58.61,59.65
idn,Indonesia,,49.47,51.01,48.15,54.72,54.57,51.73,53.68,52.92,55.97,50.43,51.36,50.98,53.4,53.47,48.28,54.33,55.85,56.95
ind,India,,53.48,50.27,51.46,45.22,49.89,46.35,47.2,44.28,44.24,43.42,41.79,40.46,38.18,32.49,42.24,35.58,39.3,46.76
irl,Ireland,,71.44,,75.68,70.46,72.57,70.07,69.65,67.6,70.18,68.3,70.41,70.6,69.62,72.55,70.35,68.28,68.7,68.17
irn,Iran,53.08,,53.36,51.29,,,47.68,46.09,51.4,46.82,47.5,46.53,47.17,42.78,50.06,48.65,47.88,49.77,50.04
irq,Iraq,,,,45.9,47.75,50.65,47.25,46.6,47.25,45.42,44.93,44.13,44.62,48.86,,47.85,50.94,49.28,54.75
isl,Iceland,,,,68.88,,,,75.91,75.01,,74.98,75.1,74.76,,75.33,75.75,75.65,74.49,75.62
isr,Israel,,71.73,68.41,72.61,73.53,73.59,74.33,71.11,73.21,74.01,70.79,71.59,73.31,69.27,73.32,71.95,75.78,76.62,67.83
ita,Italy,68.54,,65.74,67.8,63.34,63.54,60.57,58.39,60.09,60.27,58.48,59.55,61.99,65.17,64.45,64.88,64.67,62.58,62.45
jam,Jamaica,,62.08,,,,,53.74,,57.09,53.11,,,58.9,,63.09,54.25,58.14,58.7,
jor,Jordan,62.95,,55.98,49.3,60,55.7,55.39,51.32,51.72,53.33,54.05,52.71,48.08,46.39,44.53,40.94,39.09,43.56,42.92
jpn,Japan,65.16,,62.38,59.11,58.45,60.57,62.63,59.68,59.59,59.23,58.8,59.55,59.11,57.94,59.08,61.18,60.91,61.78,59.1
kaz,Kazakhstan,,54.76,57.19,58.86,53.83,55.14,57.36,57.59,58.35,59.7,59.5,55.34,58.82,60.08,62.72,61.68,62.6,60.06,62.99
ken,Kenya,,42.23,45.76,40.15,42.7,42.56,44.05,45.47,37.95,49.05,43.58,43.96,44.76,46.56,46.19,45.47,44.65,44.48,44.96
kgz,Kyrgyz Republic,,46.41,46.98,47.37,50.69,49.96,49.21,52.08,54.02,52.52,49.05,48.57,56.3,52.97,56.85,62.5,55.64,56.68,59.1
khm,Cambodia,,35.69,41.56,44.62,41.11,41.41,41.61,38.99,36.74,38.83,41.62,44.61,45.86,51.22,49.98,43.77,45.55,42.5,42.21
kor,South Korea,,53.32,57.67,53.9,56.48,61.16,69.47,60.03,59.59,58.01,57.8,59.71,58.74,58.4,59.03,57.93,61.13,59.5,61.12
kwt,Kuwait,,60.76,,,65.85,67.98,63.78,62.21,64.8,61.8,61.46,59.47,60.94,,61.06,,,67.58,71.3
lao,Lao,,50.76,53.64,50.44,,,47.04,48.76,,,,,46.23,48.59,51.97,52.84,49.27,49.62,54.86
lbn,Lebanon,54.91,46.53,,45.95,52.06,50.32,51.88,45.73,49.83,52.33,51.72,52.71,51.54,51.67,40.24,26.34,21.79,23.52,35.88
lbr,Liberia,,,37.01,42.21,,41.96,,,,45.71,27.02,33.55,44.24,41.35,51.21,,,40.42,44.94
lby,Libya,,,,,,,,57.54,,,56.15,54.34,56.47,54.94,53.3,,,57.6,59.7
lka,Sri Lanka,,43.45,44.15,44.31,42.12,39.77,41.81,42.25,43.65,42.68,46.12,,43.31,44.35,42.13,47.78,41.03,39.85,36.02
lso,Lesotho,,,,,,,48.98,,,,,38.08,37.95,,35.12,,,31.86,
ltu,Lithuania,,59.54,58.08,55.54,54.67,50.66,54.32,57.71,55.96,61.26,57.11,58.66,62.73,63.09,60.64,63.91,68.65,70.38,65.53
lux,Luxembourg,,,,,69.58,70.97,71.01,69.64,71.31,68.91,67.02,69.67,70.61,72.43,74.04,,,72.28,70.16
lva,Latvia,,47.1,46.67,51.45,46.69,,49.67,51.25,50.7,57.29,58.81,59.4,59.78,59.01,59.7,62.29,63.53,60.55,62.96
mar,Morocco,,,,,,43.83,50.85,49.7,51.42,,51.63,53.86,53.12,48.97,50.57,48.03,53.26,45.96,44.87
mda,Moldova,,51.02,47.75,55.03,55.54,55.9,57.92,59.96,57.56,59.17,60.17,55.78,53.26,56.82,58.03,58.12,59.59,56.87,58.01
mdg,Madagascar,,39.8,,46.4,,,43.81,35.51,38.16,36.76,35.93,36.63,40.79,40.71,43.39,,,40.19,44.33
mdv,Maldives,,,,,,,,,,,,,,51.98,,,,,
mex,Mexico,65.81,,65.25,68.29,69.63,68.02,69.1,73.2,74.43,66.8,62.36,68.24,64.1,65.5,64.32,59.64,59.91,70.38,70.06
mkd,North Macedonia,,,44.94,,44.28,41.8,48.98,46.4,51.86,52.04,49.76,53.46,52.34,52.4,50.15,50.54,55.35,51.67,54.03
mli,Mali,,40.14,,41.15,39.77,37.62,46.67,43.13,36.76,39.75,45.82,40.16,47.42,44.16,49.88,42.69,41.13,42.11,43.7
mlt,Malta,,,,,63.28,57.74,61.55,59.63,63.8,64.52,66.13,65.91,66.76,69.1,67.33,61.57,64.44,62.99,62.95
mmr,Myanmar,,,,,,,,44.39,41.76,47.86,42.24,46.23,41.54,44.11,44.34,44.31,43.14,43.59,43.91
mne,Montenegro,,,51.96,,48.01,54.55,52.23,52.19,50.74,52.83,51.25,53.04,56.15,56.5,53.86,57.22,,56,58.13
mng,Mongolia,,,46.09,44.93,,45.86,50.31,48.85,49.13,48.25,49.83,50.57,53.34,54.65,55.63,60.11,57.21,57.88,55.8
moz,Mozambique,,45.95,48.33,46.54,,,49.71,,,,45.5,,42.8,46.54,49.32,,51.78,47.4,57.04
mrt,Mauritania,,,41.49,42.48,45,47.72,47.85,46.73,41.99,44.83,39.23,44.72,46.78,43.14,41.53,,,47.24,42.92
mus,Mauritius,,,,,,,54.77,,,56.48,,56.1,61.74,58.82,62.41,60.15,59.49,57.41,57.59
mwi,Malawi,,38.3,48.91,,51.48,,39.46,42.79,40.35,45.63,38.68,34.76,34.17,33.35,38.69,,36.35,33.56,32.72
mys,Malaysia,,60.12,62.39,58.07,53.85,55.8,57.86,59.14,57.7,59.63,63.22,,,53.39,54.28,60.14,60.1,60.48,58.68
nam,Namibia,,,48.86,,,,,,,45.74,,,44.41,48.34,44.36,44.51,44.91,49.49,50.55
ner,Niger,,37.37,42.77,42.36,42.67,41.01,45.56,37.98,37.16,41.81,36.71,42.35,46.16,51.64,50.04,,,45.01,46.09
nga,Nigeria,,47.1,48.9,49.39,49.8,47.6,,54.93,48.18,,49.33,52.2,53.22,52.52,42.66,55.03,44.79,52.94,48.69
nic,Nicaragua,,44.6,49.44,51.04,53.53,56.87,53.86,54.48,57.72,62.75,59.24,60.13,64.76,58.19,61.13,62.87,60.95,63.92,63.62
nld,Netherlands,74.64,,74.52,76.31,,75.02,75.64,74.71,74.07,73.21,73.24,75.41,74.59,74.63,74.25,75.04,73.14,73.9,72.55
nor,Norway,,74.16,,76.32,,,,76.78,,74.44,76.03,75.96,75.79,74.44,74.42,72.9,73.62,72.95,72.49
npl,Nepal,,45.67,47.48,44.41,49.17,43.5,38.09,42.33,46.05,49.75,48.12,51,47.37,49.1,54.49,59.82,46.22,54.74,53.89
nzl,New Zealand,,73.05,76.04,73.81,,72.24,71.91,72.5,72.8,73.06,74.18,72.26,73.27,73.7,72.05,72.57,71.37,69.75,69.76
omn,Oman,,,,,,,68.53,,,,,,,,,,,,
pak,Pakistan,52.25,,56.71,44.14,52.08,57.86,52.67,51.32,51.38,54.36,48.23,55.49,58.31,54.72,44.43,46.24,44.87,49.31,45.49
pan,Panama,,61.28,68.94,69.31,70.34,73.21,72.48,68.6,68.66,66.31,66.06,61.18,65.68,62.81,60.86,,65.53,59.79,65.43
